2020/02/26 14:07:26 Files already downloaded and verified
2020/02/26 14:07:27 => created new encoder model...
2020/02/26 14:07:51 step 0: train=0.227410 test=0.182842 entropy=4.034473 used=64
2020/02/26 14:08:15 step 1: train=0.227671 test=0.198756 entropy=4.076342 used=64
2020/02/26 14:08:32 step 2: train=0.211008 test=0.171641 entropy=4.049699 used=64
2020/02/26 14:08:50 step 3: train=0.176971 test=0.232446 entropy=4.008093 used=64
2020/02/26 14:09:07 step 4: train=0.165560 test=0.232090 entropy=4.059113 used=64
2020/02/26 14:09:25 step 5: train=0.192491 test=0.200199 entropy=4.045143 used=64
2020/02/26 14:09:42 step 6: train=0.198520 test=0.228244 entropy=4.076649 used=64
2020/02/26 14:10:00 step 7: train=0.187763 test=0.187451 entropy=4.042611 used=64
2020/02/26 14:10:17 step 8: train=0.217559 test=0.184637 entropy=4.052446 used=64
2020/02/26 14:10:34 step 9: train=0.171701 test=0.209429 entropy=4.084053 used=64
2020/02/26 14:10:52 step 10: train=0.186085 test=0.180539 entropy=4.059382 used=64
2020/02/26 14:11:16 step 11: train=0.198675 test=0.201224 entropy=4.056063 used=64
2020/02/26 14:11:33 step 12: train=0.206603 test=0.207718 entropy=4.064939 used=64
2020/02/26 14:11:51 step 13: train=0.165551 test=0.177974 entropy=4.008573 used=64
2020/02/26 14:12:08 step 14: train=0.163859 test=0.187355 entropy=4.049030 used=64
2020/02/26 14:12:26 step 15: train=0.204236 test=0.201284 entropy=4.014001 used=64
2020/02/26 14:12:43 step 16: train=0.150528 test=0.148241 entropy=4.111779 used=64
2020/02/26 14:13:01 step 17: train=0.164364 test=0.164003 entropy=4.105068 used=64
2020/02/26 14:13:18 step 18: train=0.141661 test=0.185315 entropy=4.112227 used=64
2020/02/26 14:13:35 step 19: train=0.147834 test=0.146000 entropy=4.107750 used=64
2020/02/26 14:13:53 step 20: train=0.155482 test=0.165971 entropy=4.095057 used=64
2020/02/26 14:14:19 step 21: train=0.150753 test=0.147896 entropy=4.113647 used=64
2020/02/26 14:14:36 step 22: train=0.181418 test=0.178808 entropy=4.116181 used=64
2020/02/26 14:14:54 step 23: train=0.165027 test=0.161160 entropy=4.099940 used=64
2020/02/26 14:15:11 step 24: train=0.139631 test=0.173367 entropy=4.124959 used=64
2020/02/26 14:15:28 step 25: train=0.169094 test=0.153558 entropy=4.115204 used=64
2020/02/26 14:15:46 step 26: train=0.181901 test=0.182811 entropy=4.113397 used=64
2020/02/26 14:16:03 step 27: train=0.182686 test=0.157913 entropy=4.117719 used=64
2020/02/26 14:16:20 step 28: train=0.144838 test=0.132250 entropy=4.116493 used=64
2020/02/26 14:16:38 step 29: train=0.159527 test=0.163875 entropy=4.114139 used=64
2020/02/26 14:16:55 step 30: train=0.174945 test=0.185240 entropy=4.118303 used=64
2020/02/26 14:17:19 step 31: train=0.191985 test=0.167609 entropy=4.114660 used=64
2020/02/26 14:17:37 step 32: train=0.116570 test=0.096987 entropy=4.121796 used=64
2020/02/26 14:17:54 step 33: train=0.105477 test=0.106601 entropy=4.113042 used=64
2020/02/26 14:18:11 step 34: train=0.123802 test=0.115528 entropy=4.122392 used=64
2020/02/26 14:18:29 step 35: train=0.105880 test=0.118731 entropy=4.108954 used=64
2020/02/26 14:18:46 step 36: train=0.123871 test=0.084160 entropy=4.112179 used=64
2020/02/26 14:19:03 step 37: train=0.095401 test=0.099448 entropy=4.121755 used=64
2020/02/26 14:19:21 step 38: train=0.103391 test=0.096506 entropy=4.105779 used=64
2020/02/26 14:19:38 step 39: train=0.089791 test=0.089389 entropy=4.116446 used=64
2020/02/26 14:19:55 step 40: train=0.106048 test=0.100866 entropy=4.114454 used=64
2020/02/26 14:20:19 step 41: train=0.102027 test=0.120775 entropy=4.105203 used=64
2020/02/26 14:20:37 step 42: train=0.083720 test=0.094716 entropy=4.120313 used=64
